rosbagTimestamp,layout,dim,data_offset,data
1630666790658505582,,[],0,"[0.13, -0.07, -0.25, -3.25, 5.0625, 357.8125]"
1630666790706828593,,[],0,"[0.21, 0.12, -0.78, -2.4375, 4.75, 357.5]"
1630666790756642737,,[],0,"[0.12, -0.12, -0.13, -2.25, 4.75, 357.25]"
1630666790796562137,,[],0,"[0.22, 0.18, -0.35000000000000003, -2.3125, 4.5625, 357.1875]"
1630666790840417735,,[],0,"[0.09, 0.26, -0.34, -2.5625, 4.5625, 357.1875]"
1630666790881798020,,[],0,"[0.15, 0.19, -0.45, -2.75, 4.8125, 357.0]"
1630666790930646833,,[],0,"[0.11, 0.14, -0.33, -3.125, 4.9375, 357.125]"
1630666790976585518,,[],0,"[-0.15, 0.06, -0.8, -3.625, 5.3125, 357.1875]"
1630666791021698637,,[],0,"[0.05, 0.02, -0.71, -3.625, 5.6875, 357.1875]"
1630666791068192500,,[],0,"[0.04, 0.0, -0.71, -3.9375, 5.8125, 357.3125]"
1630666791115063521,,[],0,"[0.13, -0.05, -0.59, -3.9375, 5.6875, 357.375]"
1630666791158953881,,[],0,"[-0.08, 0.05, -0.73, -3.9375, 5.5625, 357.3125]"
1630666791202905063,,[],0,"[0.07, 0.01, -0.64, -3.75, 5.4375, 357.0]"
1630666791248379085,,[],0,"[0.08, 0.0, -0.34, -3.3125, 5.3125, 356.875]"
1630666791291781353,,[],0,"[0.0, 0.01, -0.15, -3.25, 5.1875, 356.875]"
1630666791338076457,,[],0,"[-0.04, 0.02, -0.32, -3.375, 5.25, 356.8125]"
1630666791381784561,,[],0,"[-0.03, -0.08, -0.44, -3.5625, 5.3125, 356.6875]"
1630666791431625895,,[],0,"[-0.05, -0.04, -0.6, -3.4375, 5.375, 356.4375]"
1630666791479202358,,[],0,"[0.07, -0.15, -0.37, -3.4375, 5.5, 356.1875]"
1630666791525970896,,[],0,"[-0.07, 0.03, -0.61, -3.375, 5.5625, 356.125]"
1630666791573450671,,[],0,"[-0.01, -0.11, -0.35000000000000003, -3.1875, 5.6875, 356.125]"
1630666791620244713,,[],0,"[-0.05, 0.08, -0.58, -3.25, 5.6875, 356.1875]"
1630666791666842361,,[],0,"[0.12, 0.02, -0.41000000000000003, -3.1875, 5.6875, 356.1875]"
1630666791713625217,,[],0,"[-0.04, -0.1, -0.53, -3.25, 5.6875, 356.3125]"
