rosbagTimestamp,layout,dim,data_offset,data
1630666608764450425,,[],0,"[0.07, 0.27, -0.51, -3.125, 0.5, 347.9375]"
1630666608814826342,,[],0,"[-0.21, 0.07, -0.25, -3.3125, 1.0, 348.0625]"
1630666608861679828,,[],0,"[-0.01, 0.17, -0.45, -3.625, 1.25, 347.875]"
1630666608909430364,,[],0,"[0.03, -0.16, -0.5700000000000001, -4.5, 1.375, 347.75]"
1630666608957805613,,[],0,"[-0.05, -0.03, -0.89, -4.625, 1.4375, 347.4375]"
1630666609006625212,,[],0,"[0.45, -0.39, -0.55, -5.0625, 1.75, 347.1875]"
1630666609055999758,,[],0,"[-0.03, -0.07, -0.87, -5.5, 1.4375, 347.25]"
1630666609103591630,,[],0,"[0.12, -0.01, -0.74, -5.6875, 1.375, 347.25]"
1630666609155442963,,[],0,"[0.07, 0.04, -0.44, -5.4375, 1.1875, 347.375]"
1630666609205636082,,[],0,"[-0.02, -0.02, -0.46, -5.3125, 1.3125, 347.4375]"
1630666609253976317,,[],0,"[0.04, 0.07, -0.29, -4.875, 1.4375, 347.25]"
1630666609304055271,,[],0,"[0.09, -0.23, -0.55, -4.625, 1.5625, 347.0]"
1630666609351061233,,[],0,"[0.0, -0.21, -0.58, -4.1875, 1.625, 346.625]"
1630666609405376853,,[],0,"[0.09, -0.43, -0.25, -3.875, 1.75, 346.4375]"
1630666609457350652,,[],0,"[0.18, -0.17, -0.62, -4.3125, 1.75, 346.25]"
1630666609507976324,,[],0,"[0.33, -0.27, -0.32, -4.5, 2.0, 346.4375]"
1630666609560704187,,[],0,"[-0.01, 0.09, -0.66, -5.0625, 1.9375, 346.6875]"
1630666609610636405,,[],0,"[-0.04, -0.02, -0.45, -4.875, 2.1875, 346.875]"
1630666609663199533,,[],0,"[0.04, -0.05, -0.42, -5.0, 2.3125, 347.0]"
1630666609714212732,,[],0,"[-0.14, -0.18, -0.37, -4.875, 2.4375, 347.125]"
1630666609764408835,,[],0,"[0.07, -0.1, -0.54, -4.875, 2.75, 347.3125]"
1630666609813296654,,[],0,"[-0.09, -0.23, -0.64, -4.875, 2.8125, 347.5]"
1630666609864108419,,[],0,"[0.18, 0.18, -0.85, -4.5625, 2.8125, 347.6875]"
1630666609915012059,,[],0,"[0.23, -0.31, -0.2, -4.25, 2.9375, 347.75]"
1630666609963793958,,[],0,"[0.29, 0.15, -0.59, -4.4375, 2.8125, 347.875]"
1630666610015118464,,[],0,"[0.34, -0.06, -0.56, -4.5, 3.0625, 347.75]"
1630666610066407384,,[],0,"[0.2, -0.1, -0.48, -4.75, 3.0625, 347.8125]"
1630666610120524153,,[],0,"[0.46, -0.09, -0.53, -4.75, 3.25, 347.75]"
1630666610170572877,,[],0,"[0.31, -0.02, -0.51, -4.6875, 3.25, 347.75]"
1630666610227602199,,[],0,"[0.33, 0.03, -0.49, -4.5, 3.5625, 347.625]"
1630666610268403101,,[],0,"[0.3, 0.37, -0.33, -4.5, 3.625, 348.0]"
1630666610322229863,,[],0,"[-0.23, 0.56, -0.36, -4.5625, 3.5625, 348.3125]"
1630666610369963536,,[],0,"[-0.2, 0.48, -0.19, -4.3125, 3.4375, 348.625]"
1630666610419859910,,[],0,"[-0.59, -0.07, 0.03, -4.125, 3.5625, 348.6875]"
1630666610470011855,,[],0,"[0.06, -0.11, -0.22, -4.1875, 3.8125, 348.625]"
1630666610519923215,,[],0,"[0.09, -0.32, -0.79, -4.75, 4.1875, 348.6875]"
1630666610570363788,,[],0,"[0.19, -0.25, -0.63, -4.875, 4.5, 348.8125]"
1630666610622235923,,[],0,"[0.04, -0.22, -0.56, -5.3125, 4.625, 349.1875]"
1630666610678082622,,[],0,"[-0.05, -0.04, -0.6, -5.375, 4.8125, 349.6875]"
1630666610725033453,,[],0,"[0.13, 0.01, -0.6900000000000001, -5.5625, 4.875, 350.0625]"
1630666610775750469,,[],0,"[0.05, 0.0, -0.66, -5.75, 4.75, 350.25]"
1630666610834256867,,[],0,"[0.17, 0.06, -1.05, -5.5625, 4.9375, 350.4375]"
1630666610868024850,,[],0,"[0.0, -0.26, -0.8200000000000001, -5.25, 5.4375, 350.875]"
1630666610924470644,,[],0,"[0.15, 0.02, -1.23, -5.25, 5.6875, 351.1875]"
1630666610966592415,,[],0,"[-0.04, -0.23, -0.28, -4.8125, 5.5625, 351.8125]"
1630666611013918790,,[],0,"[-0.18, -0.23, -0.06, -4.375, 5.1875, 352.625]"
1630666611064754537,,[],0,"[-0.05, -0.29, -0.45, -4.25, 5.0, 352.875]"
