rosbagTimestamp,layout,dim,data_offset,data
1626632220461511202,,[],0,"[-1, 0, -4]"
1626632220510072091,,[],0,"[-1, 0, -4]"
1626632220571174320,,[],0,"[-1, 0, -4]"
1626632220614719487,,[],0,"[-1, 0, -4]"
1626632220662872033,,[],0,"[-1, 0, -4]"
1626632220717504478,,[],0,"[-1, 0, -4]"
1626632220759885617,,[],0,"[-1, 0, -4]"
1626632220806273504,,[],0,"[-1, 0, -4]"
1626632220856906365,,[],0,"[-1, 0, -4]"
1626632220903616551,,[],0,"[-1, 0, -4]"
1626632220951463331,,[],0,"[-1, 0, -4]"
1626632221002076285,,[],0,"[-1, 0, -4]"
1626632221053492272,,[],0,"[-1, 0, -4]"
1626632221105789420,,[],0,"[-1, 0, -4]"
1626632221163757165,,[],0,"[-1, 0, -4]"
1626632221207022884,,[],0,"[-1, 0, -4]"
1626632221259522220,,[],0,"[-1, 0, -4]"
1626632221307161144,,[],0,"[-1, 0, -4]"
1626632221354654915,,[],0,"[-1, 0, -4]"
1626632221402149327,,[],0,"[-1, 0, -4]"
1626632221448153246,,[],0,"[-1, 0, -4]"
1626632221502338280,,[],0,"[-1, 0, -4]"
1626632221548308671,,[],0,"[-1, 0, -4]"
1626632221604479571,,[],0,"[-1, 0, -4]"
1626632221659560041,,[],0,"[-1, 0, -4]"
1626632221708477756,,[],0,"[-1, 0, -4]"
1626632221761876613,,[],0,"[-1, 0, -4]"
1626632221807583431,,[],0,"[-1, 0, -4]"
1626632221863241196,,[],0,"[-1, 0, -4]"
1626632221909488098,,[],0,"[-1, 0, -4]"
1626632221956697946,,[],0,"[-1, 0, -4]"
1626632222004782901,,[],0,"[-1, 0, -4]"
1626632222044889022,,[],0,"[-1, 0, -4]"
1626632222096280515,,[],0,"[-1, 0, -4]"
1626632222142235039,,[],0,"[-1, 0, -4]"
1626632222193440180,,[],0,"[-1, 0, -4]"
1626632222238353537,,[],0,"[-1, 0, -4]"
1626632222287442675,,[],0,"[-1, 1, -4]"
1626632222344161775,,[],0,"[-1, 1, -4]"
1626632222386446224,,[],0,"[-1, 1, -4]"
1626632222441572730,,[],0,"[-1, 1, -4]"
1626632222487242220,,[],0,"[-1, 0, -4]"
1626632222538755463,,[],0,"[-1, 0, -4]"
1626632222589837059,,[],0,"[-1, 0, -4]"
1626632222641187978,,[],0,"[-1, 0, -4]"
1626632222686164049,,[],0,"[-1, 0, -4]"
1626632222738619733,,[],0,"[-1, 0, -4]"
1626632222787534223,,[],0,"[-1, 0, -4]"
1626632222838979151,,[],0,"[-1, 0, -4]"
1626632222886996882,,[],0,"[-1, 0, -4]"
1626632222935222146,,[],0,"[-1, 0, -4]"
1626632222987091163,,[],0,"[-1, 0, -4]"
1626632223038190107,,[],0,"[-1, 0, -4]"
1626632223093612222,,[],0,"[-1, 0, -4]"
1626632223166470648,,[],0,"[-1, 0, -4]"
1626632223219556590,,[],0,"[-1, 0, -4]"
1626632223269123001,,[],0,"[-1, 0, -4]"
1626632223320475358,,[],0,"[-1, 0, -4]"
1626632223366341177,,[],0,"[-1, 0, -4]"
1626632223415278955,,[],0,"[-1, 0, -4]"
1626632223462315092,,[],0,"[-2, 0, -4]"
1626632223507765273,,[],0,"[-2, 0, -4]"
1626632223558964455,,[],0,"[-2, 0, -4]"
1626632223605394575,,[],0,"[-2, 0, -4]"
1626632223648798800,,[],0,"[-2, 0, -4]"
1626632223695431327,,[],0,"[-2, 0, -4]"
1626632223744396855,,[],0,"[-2, 0, -4]"
1626632223799106844,,[],0,"[-2, -1, -4]"
1626632223848039606,,[],0,"[-1, -1, -4]"
1626632223894472844,,[],0,"[-1, -1, -4]"
1626632223941781535,,[],0,"[-1, -1, -4]"
1626632223988704152,,[],0,"[-1, -1, -4]"
1626632224045404427,,[],0,"[-1, -1, -4]"
1626632224095527810,,[],0,"[-1, -1, -4]"
1626632224144511205,,[],0,"[-1, -2, -4]"
1626632224190554619,,[],0,"[-1, -2, -4]"
1626632224243183755,,[],0,"[-1, -2, -4]"
1626632224287373992,,[],0,"[-1, -2, -4]"
1626632224345053475,,[],0,"[-1, -1, -4]"
1626632224394911947,,[],0,"[-2, -1, -4]"
1626632224444644672,,[],0,"[-2, -1, -4]"
1626632224491643463,,[],0,"[-2, -1, -4]"
1626632224540421990,,[],0,"[-2, -1, -4]"
1626632224587712009,,[],0,"[-2, -1, -4]"
1626632224644208988,,[],0,"[-2, -1, -4]"
1626632224690928438,,[],0,"[-2, 0, -4]"
1626632224744985541,,[],0,"[-2, 0, -4]"
1626632224787332307,,[],0,"[-2, 0, -4]"
1626632224842494000,,[],0,"[-2, 0, -5]"
1626632224891226125,,[],0,"[-2, 0, -5]"
1626632224939967665,,[],0,"[-2, 0, -5]"
1626632224985450098,,[],0,"[-1, 0, -5]"
1626632225039505906,,[],0,"[-1, -1, -5]"
1626632225091299451,,[],0,"[-1, -1, -5]"
1626632225151299165,,[],0,"[-1, -1, -4]"
1626632225199221281,,[],0,"[-1, -1, -4]"
1626632225257387629,,[],0,"[-1, -1, -4]"
1626632225298876886,,[],0,"[-1, -2, -4]"
1626632225349736520,,[],0,"[-2, -2, -4]"
1626632225412509139,,[],0,"[-2, -2, -3]"
1626632225456977343,,[],0,"[-2, -3, -4]"
1626632225498950714,,[],0,"[-2, -3, -4]"
1626632225546109063,,[],0,"[-2, -3, -4]"
1626632225599085817,,[],0,"[-2, -3, -4]"
1626632225657865443,,[],0,"[-2, -3, -4]"
1626632225699782343,,[],0,"[-2, -3, -4]"
1626632225752445068,,[],0,"[-2, -3, -4]"
1626632225803238000,,[],0,"[-2, -2, -4]"
1626632225854620892,,[],0,"[-2, -2, -4]"
1626632225904755804,,[],0,"[-2, -2, -4]"
1626632225957630840,,[],0,"[-2, -1, -4]"
1626632226004792585,,[],0,"[-2, -1, -4]"
1626632226054639262,,[],0,"[-2, 0, -5]"
1626632226106261348,,[],0,"[-2, 0, -5]"
1626632226150933185,,[],0,"[-2, 0, -5]"
1626632226208329866,,[],0,"[-2, 0, -5]"
1626632226263220872,,[],0,"[-2, 0, -5]"
1626632226305844490,,[],0,"[-2, 0, -5]"
1626632226349503131,,[],0,"[-2, 0, -5]"
1626632226397811072,,[],0,"[-2, 0, -5]"
1626632226442258469,,[],0,"[-2, 0, -5]"
1626632226496823120,,[],0,"[-2, 0, -5]"
1626632226546963489,,[],0,"[-2, 0, -5]"
1626632226598064993,,[],0,"[-2, 0, -5]"
1626632226653756406,,[],0,"[-2, 0, -5]"
1626632226701486702,,[],0,"[-2, 0, -5]"
1626632226749029985,,[],0,"[-2, 0, -5]"
1626632226797220697,,[],0,"[-2, 0, -5]"
1626632226847013177,,[],0,"[-2, -1, -5]"
1626632226904144748,,[],0,"[-2, -1, -5]"
1626632226946927151,,[],0,"[-2, -1, -4]"
1626632227007986117,,[],0,"[-2, -1, -4]"
1626632227047053207,,[],0,"[-2, -1, -4]"
1626632227099758683,,[],0,"[-2, 0, -4]"
1626632227148926206,,[],0,"[-2, 0, -5]"
1626632227201955152,,[],0,"[-2, 0, -5]"
1626632227250832714,,[],0,"[-2, 0, -5]"
1626632227321888713,,[],0,"[-2, 0, -5]"
1626632227367854980,,[],0,"[-2, 0, -5]"
1626632227415966853,,[],0,"[-2, 0, -5]"
1626632227461478347,,[],0,"[-2, 0, -5]"
1626632227509957525,,[],0,"[-2, 0, -5]"
1626632227561459272,,[],0,"[-2, 0, -5]"
1626632227607685264,,[],0,"[-2, 0, -5]"
1626632227655309809,,[],0,"[-2, 0, -5]"
1626632227702756850,,[],0,"[-2, 0, -5]"
1626632227752563131,,[],0,"[-2, 0, -5]"
1626632227800581968,,[],0,"[-2, 0, -5]"
1626632227852564351,,[],0,"[-2, 0, -4]"
1626632227902657348,,[],0,"[-2, 0, -4]"
1626632227958927182,,[],0,"[-2, 0, -3]"
1626632228011201568,,[],0,"[-2, 0, -3]"
1626632228058928936,,[],0,"[-2, -1, -3]"
1626632228108916748,,[],0,"[-2, -1, -3]"
1626632228161237871,,[],0,"[-2, -1, -3]"
1626632228215343711,,[],0,"[-2, -2, -3]"
1626632228261410090,,[],0,"[-2, -2, -3]"
1626632228310683519,,[],0,"[-2, -2, -3]"
1626632228359339981,,[],0,"[-2, -2, -4]"
1626632228408149867,,[],0,"[-2, -2, -4]"
1626632228463019368,,[],0,"[-2, -2, -4]"
1626632228510534084,,[],0,"[-2, -2, -4]"
1626632228558857889,,[],0,"[-2, -2, -4]"
1626632228606770314,,[],0,"[-2, -2, -4]"
1626632228666368235,,[],0,"[-2, -1, -4]"
1626632228716195637,,[],0,"[-2, -1, -3]"
1626632228761370777,,[],0,"[-2, -1, -3]"
1626632228810468732,,[],0,"[-2, -1, -3]"
1626632228864247268,,[],0,"[-2, -1, -2]"
1626632228920355391,,[],0,"[-2, -1, -2]"
1626632229036184167,,[],0,"[-2, 0, -3]"
1626632229041714965,,[],0,"[-2, 0, -3]"
1626632229062392829,,[],0,"[-2, 0, -3]"
1626632229173214741,,[],0,"[-2, 0, -4]"
1626632229179929773,,[],0,"[-2, 0, -4]"
1626632229209035853,,[],0,"[-2, 0, -4]"
