%time,field.layout.data_offset,field.data0,field.data1,field.data2
1626632680919266500,0,-165,2,1
1626632680969395091,0,-165,2,1
1626632681023610401,0,-164,2,2
1626632681071921349,0,-163,1,2
1626632681118792334,0,-162,1,2
1626632681166599993,0,-162,1,2
1626632681215545332,0,-162,1,2
1626632681269235447,0,-162,1,2
1626632681307388209,0,-162,1,2
1626632681355219436,0,-163,1,2
1626632681398948751,0,-164,1,2
1626632681446356788,0,-164,1,2
1626632681498374433,0,-165,1,2
1626632681546030352,0,-166,1,2
1626632681598578254,0,-167,1,2
1626632681647676724,0,-167,1,2
1626632681699275228,0,-167,1,2
1626632681746816961,0,-167,1,1
1626632681801028441,0,-167,1,1
1626632681846589072,0,-167,1,1
1626632681906989446,0,-166,1,1
1626632681945847952,0,-165,0,1
1626632681998496660,0,-164,0,1
1626632682047800270,0,-164,0,2
1626632682098202906,0,-163,0,2
1626632682149215770,0,-163,0,2
1626632682203104043,0,-162,1,2
1626632682256123192,0,-162,1,2
1626632682304956197,0,-163,1,2
1626632682349316338,0,-163,2,2
1626632682398843586,0,-164,2,2
1626632682442020540,0,-164,3,2
1626632682498111724,0,-165,3,2
1626632682546402198,0,-166,3,2
1626632682608182273,0,-167,3,2
1626632682643676953,0,-167,3,2
1626632682701833612,0,-167,3,2
1626632682751466513,0,-167,3,1
1626632682813386587,0,-167,3,1
1626632682846437817,0,-167,2,1
1626632682903137989,0,-166,2,1
