%time,field.layout.data_offset,field.data0,field.data1,field.data2
1629697320923171130,0,0.23,-0.38,-0.27
1629697320955693643,0,0.25,-0.12,-0.12
1629697320989626202,0,0.31,-0.09,-0.2
1629697321021781291,0,0.6,-0.71,-0.28
1629697321053987876,0,0.53,-0.94,-0.27
1629697321086355214,0,0.55,-0.8,-0.13
1629697321121546928,0,0.77,-0.87,0.05
1629697321152759231,0,0.64,-0.72,0.31
1629697321185878882,0,0.48,-0.46,0.6
1629697321222668964,0,0.48,-0.42,0.29
1629697321252020358,0,0.71,-1.03,0.17
1629697321285431951,0,0.55,-0.92,0.0
1629697321319172820,0,0.35,-0.73,-0.09
1629697321350583839,0,0.4,-0.84,0.12
1629697321382756115,0,0.0,-0.15,0.34
1629697321418219185,0,-0.59,0.42,0.17
1629697321452072206,0,-0.62,0.09,-0.03
1629697321478650005,0,-0.76,-0.51,0.19
1629697321511804084,0,-0.82,-0.47,-0.06
1629697321543598398,0,-0.55,-0.99,-0.42
1629697321578318002,0,-0.57,-1.16,-0.19
1629697321612058325,0,-0.89,-0.53,0.17
1629697321642282777,0,-0.88,-0.41,0.54
1629697321688709752,0,-0.98,-0.49,0.58
1629697321707577223,0,-0.93,-0.41,0.9
1629697321741565653,0,-0.66,-0.6,0.89
1629697321775733628,0,-0.58,-0.67,0.8
1629697321809826041,0,-0.43,-0.39,1.14
1629697321839100587,0,-0.38,-0.55,1.01
1629697321871966976,0,-0.39,-0.86,0.01
1629697321907792887,0,-0.11,-0.93,-0.33
1629697321937675312,0,-0.23,-0.74,0.1
1629697321971546349,0,-0.27,-0.48,-0.2
1629697322003544642,0,0.27,-0.56,-0.47
1629697322037284461,0,0.47,-0.56,-0.57
1629697322071288416,0,0.4,-0.88,-0.67
1629697322102870376,0,0.45,326.55,-0.64
1629697322136598227,0,0.35,-0.77,-0.23
1629697322168038761,0,0.25,-0.46,0.0
1629697322198863053,0,0.38,-0.47,-0.35
1629697322231515217,0,0.66,-0.68,-0.29
1629697322265615309,0,0.68,-0.57,-0.27
1629697322297135406,0,0.85,-0.66,-0.49
1629697322331190144,0,1.05,-0.89,-0.39
1629697322366031560,0,0.82,-0.58,-0.25
1629697322408804092,0,0.86,-0.81,-0.39
1629697322428785004,0,0.95,-0.83,-0.06
1629697322463892496,0,0.51,-0.5,0.54
1629697322495232728,0,0.27,-0.35,0.64
1629697322530539713,0,-0.36,-0.25,0.49
1629697322560951489,0,-0.92,-0.03,0.42
1629697322591600926,0,-1.12,-0.09,0.6
1629697322628294415,0,-1.45,0.43,0.79
1629697322657707731,0,-1.55,0.69,0.96
1629697322694563473,0,-1.87,0.44,1.07
1629697322731327056,0,-2.03,0.19,0.78
1629697322759515489,0,-2.05,0.08,0.37
1629697322791878198,0,-1.93,-0.1,0.23
1629697322858564858,0,-1.47,-0.37,-0.1
1629697322860542466,0,-1.36,-0.31,-0.23
1629697322890176871,0,-1.13,-0.38,-0.36
1629697322923545365,0,-0.66,-0.82,-1.03
1629697322962798648,0,0.13,-1.25,-1.47
1629697322986834292,0,0.02,-1.54,-1.05
1629697323019119067,0,-0.23,-1.3,-0.89
1629697323049653441,0,-0.35,-1.2,-0.93
1629697323084257636,0,-0.23,-1.09,-0.69
1629697323117187344,0,-0.43,-0.62,-0.35
1629697323147938980,0,-0.28,-0.26,-0.32
1629697323181515474,0,0.03,-0.54,0.04
1629697323216569432,0,-0.63,-0.3,0.66
1629697323248242181,0,-0.57,-0.25,1.01
1629697323280959116,0,-0.27,-0.36,0.42
1629697323313578002,0,-0.5,-0.55,0.28
1629697323347191394,0,-0.95,-0.79,0.67
1629697323377115815,0,-1.07,-0.75,0.79
1629697323409367026,0,-1.24,-0.4,0.75
1629697323449710854,0,-1.12,-0.65,0.47
1629697323473955923,0,-0.84,-1.03,0.1
1629697323504608207,0,-0.43,-0.65,-0.08
1629697323540557455,0,-0.37,-0.08,-0.61
1629697323574820464,0,-0.17,-0.4,-0.77
1629697323610282472,0,-0.44,-0.6,-0.32
1629697323643735182,0,-1.02,-0.06,-0.03
1629697323677950553,0,-0.67,-0.33,0.26
1629697323711602476,0,-0.63,-0.55,-0.07
1629697323744286624,0,-0.5,-1.01,0.11
1629697323778382241,0,-0.3,-1.31,0.38
1629697323811127241,0,-0.07,-1.76,1.09
1629697323912245874,0,-0.96,-0.6,0.21
1629697323914604287,0,-1.18,-0.66,0.45
1629697323914630360,0,-0.66,-0.95,0.92
1629697323939795757,0,-0.96,-0.64,1.53
1629697323970898310,0,-1.3,0.16,0.83
1629697324000668080,0,-0.84,-0.21,0.78
1629697324034979162,0,-0.83,-0.42,0.55
1629697324064904872,0,-1.19,-0.24,-0.12
1629697324097045690,0,-0.87,-0.4,-0.31
1629697324139825257,0,-0.37,-0.61,-0.49
1629697324171664920,0,-0.34,-0.58,-0.69
1629697324204810176,0,-0.3,-0.41,-0.75
1629697324243573988,0,0.01,-0.8,-0.24
1629697324269933496,0,-0.1,-0.94,-0.03
1629697324303012298,0,-0.52,-0.54,0.19
1629697324337126051,0,-0.42,-0.58,0.5
1629697324371853852,0,-0.14,-1.02,0.66
1629697324402494912,0,-1.11,-1.43,1.24
1629697324477100947,0,-1.86,-0.95,0.9
1629697324479309235,0,-1.9,-1.33,0.11
1629697324500322336,0,-0.9,-2.32,-0.09
1629697324532579113,0,-0.38,-2.87,0.13
1629697324568053386,0,-0.78,-2.45,0.0
1629697324600417814,0,-1.32,-2.11,-0.19
1629697324633599710,0,-1.44,-2.16,-0.4
1629697324666540104,0,-1.06,-2.42,-0.71
1629697324697952424,0,-0.55,-2.65,-0.66
1629697324731758804,0,-0.41,-2.56,-0.58
1629697324762877521,0,-0.51,-2.0,-0.47
1629697324800008202,0,-0.34,-1.83,-0.12
1629697324831272998,0,-0.45,-1.76,0.16
1629697324865059768,0,-0.51,-1.62,0.26
1629697324897136685,0,-0.09,-1.76,0.43
1629697324933061771,0,0.19,-2.05,1.2
1629697324964578081,0,-0.96,-1.68,1.39
1629697324996234005,0,-1.9,-1.23,1.39
1629697325029136568,0,-1.6,-1.38,1.06
1629697325062356441,0,-0.6,-1.48,0.61
1629697325092546927,0,-0.87,-1.57,0.25
1629697325128279721,0,-0.99,-2.02,0.03
1629697325156852156,0,-1.12,-2.05,-0.64
1629697325191974612,0,-1.03,-1.96,-1.03
1629697325227749327,0,-0.39,-2.09,-1.26
1629697325257832857,0,-0.23,-1.98,-0.96
1629697325290922271,0,-0.32,-1.44,-0.58
1629697325324376414,0,-0.43,-1.1,-0.35
1629697325357378434,0,-0.38,-0.97,-0.16
1629697325393072157,0,-0.32,-0.91,0.1
1629697325424031794,0,-0.14,-0.95,0.37
1629697325455175035,0,-0.05,-1.2,0.83
1629697325668210134,0,-0.26,-1.19,0.93
1629697325668257663,0,-0.3,-1.25,1.15
1629697325668312015,0,-0.46,-1.54,1.25
1629697325668353842,0,-0.52,-1.65,0.08
1629697325668374826,0,0.13,-2.16,-0.25
1629697325668394553,0,0.08,-1.97,-0.17
