time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/07/14/05:47:39.916348,8355,1657745259,916058311,leptrino,1.8054333333333454,-1.7541499999999957,-3.056699999999961,0.14376666666666216,0.08296333333330722,-0.039269333333326245
2022/07/14/05:47:39.916402,8356,1657745259,916102052,leptrino,1.6554333333333453,-2.054149999999996,-3.156699999999961,0.16776666666666215,0.08296333333330722,-0.055269333333326245
2022/07/14/05:47:39.918272,8357,1657745259,918031303,leptrino,1.8054333333333454,-2.054149999999996,-3.356699999999961,0.19376666666666217,0.09096333333330722,-0.05926933333332625
2022/07/14/05:47:39.918318,8358,1657745259,918058366,leptrino,2.0054333333333454,-2.454149999999996,-3.456699999999961,0.22576666666666217,0.09096333333330722,-0.05726933333332625
2022/07/14/05:47:39.920512,8359,1657745259,920119976,leptrino,2.1554333333333453,-2.704149999999996,-3.7566999999999613,0.25376666666666214,0.09296333333330722,-0.06926933333332624
2022/07/14/05:47:39.920550,8361,1657745259,920171721,leptrino,2.1554333333333453,-2.804149999999996,-3.656699999999961,0.22976666666666218,0.09696333333330721,-0.06726933333332624
2022/07/14/05:47:39.922431,8362,1657745259,922084358,leptrino,2.1054333333333455,-2.0041499999999957,-3.856699999999961,0.16576666666666218,0.09696333333330721,-0.047269333333326245
2022/07/14/05:47:39.922503,8363,1657745259,922117757,leptrino,2.0054333333333454,-1.2041499999999958,-4.056699999999961,0.08176666666666216,0.09896333333330722,-0.023269333333326245
2022/07/14/05:47:39.924476,8364,1657745259,924090884,leptrino,2.1054333333333455,-0.4041499999999957,-4.106699999999961,0.003766666666662161,0.10696333333330722,-0.011269333333326245
2022/07/14/05:47:39.924538,8365,1657745259,924187331,leptrino,2.1054333333333455,-0.004149999999995657,-4.006699999999961,-0.05623333333333784,0.11296333333330721,-0.0012693333333262445
2022/07/14/05:47:39.924578,8366,1657745259,924255937,leptrino,2.1054333333333455,0.09585000000000435,-4.256699999999961,-0.08623333333333784,0.10296333333330722,0.016730666666673756
2022/07/14/05:47:39.926350,8367,1657745259,926045120,leptrino,1.7054333333333453,0.29585000000000433,-4.2066999999999615,-0.10823333333333784,0.08696333333330722,0.028730666666673756
2022/07/14/05:47:39.926393,8368,1657745259,926084435,leptrino,1.4054333333333455,0.19585000000000435,-4.2066999999999615,-0.12223333333333784,0.08696333333330722,0.038730666666673755
2022/07/14/05:47:39.928326,8369,1657745259,928043065,leptrino,1.4054333333333455,0.49585000000000434,-4.606699999999961,-0.16623333333333784,0.09896333333330722,0.046730666666673755
2022/07/14/05:47:39.928363,8370,1657745259,928085400,leptrino,1.4554333333333456,0.6958500000000044,-5.156699999999962,-0.22423333333333784,0.11096333333330723,0.06473066666667375
2022/07/14/05:47:39.930531,8371,1657745259,930151282,leptrino,1.5554333333333457,1.1458500000000045,-5.2066999999999615,-0.28023333333333783,0.11696333333330722,0.08873066666667376
2022/07/14/05:47:39.930567,8373,1657745259,930197836,leptrino,1.2554333333333456,1.7458500000000043,-5.156699999999962,-0.3382333333333378,0.11096333333330723,0.13673066666667374
2022/07/14/05:47:39.932417,8374,1657745259,932081413,leptrino,1.2554333333333456,1.9458500000000045,-5.256699999999961,-0.34223333333333783,0.10696333333330722,0.13473066666667377
2022/07/14/05:47:39.932461,8375,1657745259,932127716,leptrino,1.0054333333333456,1.6458500000000045,-5.156699999999962,-0.3302333333333378,0.11096333333330723,0.13073066666667377
2022/07/14/05:47:39.934473,8376,1657745259,934087657,leptrino,1.0054333333333456,1.8958500000000045,-5.306699999999961,-0.32423333333333787,0.11296333333330721,0.13473066666667377
2022/07/14/05:47:39.934516,8377,1657745259,934123009,leptrino,1.1554333333333455,2.0458500000000046,-5.556699999999961,-0.30823333333333786,0.11496333333330722,0.13873066666667375
2022/07/14/05:47:39.936568,8378,1657745259,936230905,leptrino,1.2054333333333456,1.8958500000000045,-5.756699999999961,-0.2742333333333378,0.11696333333330722,0.12873066666667377
2022/07/14/05:47:39.936616,8380,1657745259,936286208,leptrino,1.0554333333333454,0.6458500000000044,-5.9566999999999615,-0.13023333333333784,0.11496333333330722,0.08073066666667375
2022/07/14/05:47:39.938292,8381,1657745259,937991598,leptrino,1.1054333333333455,0.14585000000000434,-6.056699999999961,-0.05023333333333784,0.10896333333330722,0.05273066666667375
2022/07/14/05:47:39.938325,8382,1657745259,938015924,leptrino,1.0554333333333454,-0.5541499999999957,-6.106699999999961,0.027766666666662162,0.10496333333330722,0.024730666666673756
2022/07/14/05:47:39.940366,8383,1657745259,940073439,leptrino,1.1054333333333455,-1.2041499999999958,-6.056699999999961,0.07976666666666216,0.09496333333330723,0.010730666666673756
2022/07/14/05:47:39.940393,8385,1657745259,940107337,leptrino,1.3054333333333457,-1.4041499999999958,-6.006699999999961,0.11176666666666216,0.09696333333330721,-0.011269333333326245
2022/07/14/05:47:39.942312,8386,1657745259,942040072,leptrino,1.4054333333333455,-1.0541499999999957,-6.006699999999961,0.12176666666666217,0.09496333333330723,-0.015269333333326245
2022/07/14/05:47:39.942341,8387,1657745259,942063186,leptrino,1.7054333333333453,-1.2041499999999958,-6.156699999999962,0.14376666666666216,0.09296333333330722,-0.019269333333326245
2022/07/14/05:47:39.944381,8388,1657745259,944054183,leptrino,1.5054333333333456,-1.5041499999999957,-6.106699999999961,0.17976666666666216,0.08096333333330721,-0.021269333333326246
2022/07/14/05:47:39.944403,8389,1657745259,944079030,leptrino,1.4554333333333456,-1.7041499999999958,-6.156699999999962,0.20176666666666215,0.07496333333330722,-0.017269333333326246
2022/07/14/05:47:39.946396,8390,1657745259,946078130,leptrino,1.4554333333333456,-1.7041499999999958,-6.256699999999961,0.20376666666666216,0.07896333333330723,-0.015269333333326245
2022/07/14/05:47:39.946425,8392,1657745259,946109970,leptrino,1.7054333333333453,-1.2541499999999957,-6.256699999999961,0.13976666666666215,0.07896333333330723,0.008730666666673756
2022/07/14/05:47:39.948342,8393,1657745259,948034070,leptrino,1.7054333333333453,-1.1041499999999957,-6.306699999999961,0.09976666666666216,0.07696333333330722,0.016730666666673756
