time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/07/14/04:35:03.036152,53420,1657740903,35828432,leptrino,0.3951666666666661,-0.10308333333331206,0.043866666666565385,-0.02256933333333541,-0.003523999999958278,0.009789333333325885
2022/07/14/04:35:03.036199,53421,1657740903,35871027,leptrino,0.5451666666666661,-0.003083333333312055,0.2438666666665654,-0.02656933333333541,-0.0055239999999582776,0.013789333333325885
2022/07/14/04:35:03.038273,53422,1657740903,37939796,leptrino,0.5451666666666661,-0.003083333333312055,0.2938666666665654,-0.03056933333333541,-0.0055239999999582776,0.011789333333325885
2022/07/14/04:35:03.038309,53424,1657740903,37994492,leptrino,0.2451666666666661,0.34691666666668797,0.4438666666665654,-0.02656933333333541,-0.011523999999958278,0.015789333333325887
2022/07/14/04:35:03.040158,53425,1657740903,39828978,leptrino,0.2951666666666661,0.296916666666688,0.4438666666665654,-0.02256933333333541,-0.009523999999958278,0.013789333333325885
2022/07/14/04:35:03.040207,53426,1657740903,39866239,leptrino,0.2951666666666661,0.24691666666668796,0.4938666666665654,-0.018569333333335408,-0.009523999999958278,0.017789333333325885
2022/07/14/04:35:03.042324,53427,1657740903,41950842,leptrino,0.3451666666666661,0.34691666666668797,0.6938666666665654,-0.014569333333335408,-0.007523999999958278,0.019789333333325887
2022/07/14/04:35:03.042379,53429,1657740903,42008053,leptrino,0.3951666666666661,0.14691666666668796,0.4938666666665654,-0.012569333333335408,-0.001523999999958278,0.007789333333325885
2022/07/14/04:35:03.044295,53430,1657740903,43861556,leptrino,0.3451666666666661,0.14691666666668796,0.4438666666665654,-0.012569333333335408,-0.001523999999958278,0.011789333333325885
2022/07/14/04:35:03.044352,53431,1657740903,43899023,leptrino,0.2951666666666661,-0.003083333333312055,0.6438666666665654,-0.012569333333335408,-0.001523999999958278,0.009789333333325885
2022/07/14/04:35:03.046217,53432,1657740903,45877599,leptrino,0.2951666666666661,-0.003083333333312055,0.5938666666665654,-0.018569333333335408,0.0004760000000417222,0.011789333333325885
2022/07/14/04:35:03.046252,53433,1657740903,45913098,leptrino,0.3951666666666661,0.04691666666668795,0.5438666666665654,-0.02256933333333541,0.0004760000000417222,0.013789333333325885
2022/07/14/04:35:03.046266,53434,1657740903,46090790,leptrino,0.2951666666666661,-0.003083333333312055,0.3938666666665654,-0.028569333333335407,0.002476000000041722,0.015789333333325887
2022/07/14/04:35:03.048188,53435,1657740903,47881858,leptrino,0.1951666666666661,-0.003083333333312055,0.1438666666665654,-0.03056933333333541,0.006476000000041723,0.015789333333325887
2022/07/14/04:35:03.048224,53436,1657740903,47919753,leptrino,0.3451666666666661,0.24691666666668796,0.19386666666656538,-0.04056933333333541,0.006476000000041723,0.021789333333325885
2022/07/14/04:35:03.050221,53437,1657740903,49879010,leptrino,0.5451666666666661,0.14691666666668796,-0.006133333333434621,-0.046569333333335405,0.010476000000041723,0.019789333333325887
2022/07/14/04:35:03.050257,53438,1657740903,49913853,leptrino,0.4451666666666661,-0.003083333333312055,-0.20613333333343464,-0.05256933333333541,0.010476000000041723,0.013789333333325885
2022/07/14/04:35:03.052442,53439,1657740903,51933667,leptrino,0.2451666666666661,-0.003083333333312055,-0.25613333333343463,-0.05656933333333541,0.008476000000041723,0.007789333333325885
2022/07/14/04:35:03.052482,53441,1657740903,51990513,leptrino,0.2451666666666661,-0.10308333333331206,-0.45613333333343464,-0.05856933333333541,0.010476000000041723,0.007789333333325885
2022/07/14/04:35:03.054225,53442,1657740903,53891640,leptrino,0.3951666666666661,-0.15308333333331206,-0.45613333333343464,-0.05656933333333541,0.012476000000041723,0.007789333333325885
2022/07/14/04:35:03.054271,53443,1657740903,53927563,leptrino,0.3951666666666661,-0.10308333333331206,-0.5561333333334346,-0.05256933333333541,0.014476000000041723,0.0037893333333258853
2022/07/14/04:35:03.056199,53444,1657740903,55861775,leptrino,0.3451666666666661,-0.003083333333312055,-0.40613333333343465,-0.05256933333333541,0.014476000000041723,0.005789333333325885
2022/07/14/04:35:03.056236,53445,1657740903,55898567,leptrino,0.1951666666666661,0.04691666666668795,-0.5561333333334346,-0.04456933333333541,0.014476000000041723,0.005789333333325885
2022/07/14/04:35:03.058324,53446,1657740903,57958623,leptrino,0.14516666666666608,0.04691666666668795,-0.40613333333343465,-0.03456933333333541,0.014476000000041723,0.007789333333325885
2022/07/14/04:35:03.058366,53448,1657740903,58012394,leptrino,0.2451666666666661,-0.003083333333312055,-0.3061333333334346,-0.018569333333335408,0.010476000000041723,0.009789333333325885
2022/07/14/04:35:03.060199,53449,1657740903,59860633,leptrino,0.1951666666666661,-0.003083333333312055,-0.40613333333343465,-0.012569333333335408,0.010476000000041723,0.011789333333325885
2022/07/14/04:35:03.060240,53450,1657740903,59897321,leptrino,0.1951666666666661,0.09691666666668795,-0.5061333333334347,-0.006569333333335408,0.014476000000041723,0.013789333333325885
2022/07/14/04:35:03.062313,53451,1657740903,61959056,leptrino,-0.004833333333333911,0.04691666666668795,-0.5061333333334347,-0.0025693333333354075,0.012476000000041723,0.015789333333325887
2022/07/14/04:35:03.062351,53453,1657740903,62012289,leptrino,0.0951666666666661,0.04691666666668795,-0.5561333333334346,0.013430666666664592,0.014476000000041723,0.011789333333325885
2022/07/14/04:35:03.064205,53454,1657740903,63864920,leptrino,0.14516666666666608,-0.053083333333312055,-0.6061333333334347,0.015430666666664592,0.01647600000004172,0.011789333333325885
2022/07/14/04:35:03.064242,53455,1657740903,63902036,leptrino,0.04516666666666609,-0.053083333333312055,-0.5561333333334346,0.013430666666664592,0.014476000000041723,0.011789333333325885
2022/07/14/04:35:03.066221,53456,1657740903,65890997,leptrino,0.1951666666666661,-0.053083333333312055,-0.5561333333334346,0.013430666666664592,0.014476000000041723,0.009789333333325885
2022/07/14/04:35:03.066245,53457,1657740903,65926020,leptrino,0.2951666666666661,-0.003083333333312055,-0.40613333333343465,0.021430666666664593,0.012476000000041723,0.013789333333325885
2022/07/14/04:35:03.068328,53458,1657740903,67964513,leptrino,0.14516666666666608,0.09691666666668795,-0.35613333333343467,0.027430666666664594,0.010476000000041723,0.013789333333325885
2022/07/14/04:35:03.068370,53460,1657740903,68018932,leptrino,0.2951666666666661,0.09691666666668795,-0.3061333333334346,0.05143066666666459,0.006476000000041723,0.009789333333325885
2022/07/14/04:35:03.070217,53461,1657740903,69875093,leptrino,0.2951666666666661,-0.003083333333312055,-0.10613333333343462,0.05943066666666459,0.006476000000041723,0.005789333333325885
2022/07/14/04:35:03.070254,53462,1657740903,69911529,leptrino,0.3451666666666661,-0.003083333333312055,0.09386666666656539,0.0654306666666646,0.006476000000041723,0.0037893333333258853
2022/07/14/04:35:03.072312,53463,1657740903,71957626,leptrino,0.5451666666666661,-0.20308333333331208,-0.10613333333343462,0.07143066666666459,0.0004760000000417222,0.0037893333333258853
2022/07/14/04:35:03.072356,53465,1657740903,72012736,leptrino,0.4951666666666661,-0.003083333333312055,-0.10613333333343462,0.07143066666666459,0.002476000000041722,0.007789333333325885
2022/07/14/04:35:03.074214,53466,1657740903,73879098,leptrino,0.5951666666666661,-0.053083333333312055,0.19386666666656538,0.0694306666666646,0.0004760000000417222,0.007789333333325885
2022/07/14/04:35:03.074250,53467,1657740903,73915513,leptrino,0.6451666666666661,-0.053083333333312055,0.19386666666656538,0.05943066666666459,0.002476000000041722,0.005789333333325885
2022/07/14/04:35:03.076287,53468,1657740903,75895031,leptrino,0.5451666666666661,-0.15308333333331206,-0.006133333333434621,0.0494306666666646,0.004476000000041723,0.007789333333325885
2022/07/14/04:35:03.076324,53469,1657740903,75931171,leptrino,0.4951666666666661,-0.053083333333312055,0.09386666666656539,0.031430666666664595,0.004476000000041723,0.0037893333333258853
2022/07/14/04:35:03.076338,53470,1657740903,76073615,leptrino,0.4951666666666661,-0.15308333333331206,0.09386666666656539,0.013430666666664592,0.006476000000041723,0.0037893333333258853
2022/07/14/04:35:03.078232,53471,1657740903,77899523,leptrino,0.2951666666666661,-0.25308333333331207,-0.15613333333343463,-0.008569333333335408,0.002476000000041722,0.009789333333325885
2022/07/14/04:35:03.078268,53472,1657740903,77935856,leptrino,0.2451666666666661,-0.053083333333312055,-0.20613333333343464,-0.024569333333335407,0.010476000000041723,0.015789333333325887
2022/07/14/04:35:03.080375,53473,1657740903,79901174,leptrino,0.2951666666666661,0.09691666666668795,-0.10613333333343462,-0.038569333333335405,0.008476000000041723,0.013789333333325885
2022/07/14/04:35:03.080413,53474,1657740903,79937572,leptrino,0.2951666666666661,-0.003083333333312055,-0.3061333333334346,-0.04856933333333541,0.012476000000041723,0.017789333333325885
2022/07/14/04:35:03.082328,53475,1657740903,81952987,leptrino,0.14516666666666608,0.09691666666668795,-0.05613333333343462,-0.04856933333333541,0.008476000000041723,0.017789333333325885
2022/07/14/04:35:03.082373,53477,1657740903,82008035,leptrino,0.14516666666666608,-0.10308333333331206,-0.35613333333343467,-0.03656933333333541,0.010476000000041723,0.015789333333325887
2022/07/14/04:35:03.084208,53478,1657740903,83879668,leptrino,0.1951666666666661,-0.10308333333331206,-0.40613333333343465,-0.03656933333333541,0.004476000000041723,0.013789333333325885
2022/07/14/04:35:03.084252,53479,1657740903,83916737,leptrino,0.1951666666666661,-0.003083333333312055,-0.6061333333334347,-0.038569333333335405,0.008476000000041723,0.013789333333325885
2022/07/14/04:35:03.086229,53480,1657740903,85897903,leptrino,0.1951666666666661,0.04691666666668795,-0.5061333333334347,-0.038569333333335405,0.008476000000041723,0.015789333333325887
