time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/07/14/04:38:51.078028,14662,1657741131,77665394,leptrino,0.17143333333333724,-0.09998333333333315,-1.6645500000000681,-0.037107999999994264,0.00383866666666745,0.0396380000000018
2022/07/14/04:38:51.078091,14663,1657741131,77702048,leptrino,0.021433333333337235,0.10001666666666686,-1.314550000000068,-0.025107999999994263,-0.00016133333333254995,0.037638000000001795
2022/07/14/04:38:51.079998,14664,1657741131,79648679,leptrino,0.12143333333333724,0.05001666666666687,-1.4645500000000682,-0.009107999999994263,0.00183866666666745,0.037638000000001795
2022/07/14/04:38:51.080054,14665,1657741131,79674177,leptrino,0.27143333333333725,0.05001666666666687,-1.314550000000068,0.006892000000005737,0.00183866666666745,0.037638000000001795
2022/07/14/04:38:51.082149,14666,1657741131,81768359,leptrino,0.021433333333337235,-0.09998333333333315,-1.314550000000068,0.018892000000005738,0.00183866666666745,0.03563800000000179
2022/07/14/04:38:51.082198,14668,1657741131,81812578,leptrino,0.22143333333333726,-0.14998333333333314,-1.364550000000068,0.024892000000005736,-0.00016133333333254995,0.0336380000000018
2022/07/14/04:38:51.084047,14669,1657741131,83662606,leptrino,0.27143333333333725,-0.29998333333333316,-1.314550000000068,0.024892000000005736,0.005838666666667451,0.0336380000000018
2022/07/14/04:38:51.084104,14670,1657741131,83697812,leptrino,0.12143333333333724,-0.14998333333333314,-1.014550000000068,0.018892000000005738,-0.00616133333333255,0.03563800000000179
2022/07/14/04:38:51.086126,14671,1657741131,85793809,leptrino,0.12143333333333724,1.6666666666864673e-05,-1.014550000000068,0.012892000000005737,-0.00416133333333255,0.0336380000000018
2022/07/14/04:38:51.086196,14673,1657741131,85840610,leptrino,0.17143333333333724,-0.09998333333333315,-0.9145500000000681,0.024892000000005736,-0.00616133333333255,0.029638000000001795
2022/07/14/04:38:51.087974,14674,1657741131,87660707,leptrino,0.07143333333333723,-0.34998333333333315,-1.014550000000068,0.03489200000000574,-0.00416133333333255,0.025638000000001795
2022/07/14/04:38:51.088009,14675,1657741131,87694468,leptrino,0.12143333333333724,-0.4499833333333332,-0.814550000000068,0.040892000000005736,-0.00416133333333255,0.021638000000001795
2022/07/14/04:38:51.090063,14676,1657741131,89708329,leptrino,0.17143333333333724,-0.6499833333333331,-0.564550000000068,0.040892000000005736,-0.00216133333333255,0.017638000000001795
2022/07/14/04:38:51.090098,14677,1657741131,89741645,leptrino,0.42143333333333727,-0.5999833333333332,-0.5145500000000681,0.03489200000000574,-0.00216133333333255,0.019638000000001796
2022/07/14/04:38:51.092075,14678,1657741131,91725590,leptrino,0.47143333333333726,-0.4499833333333332,-0.5145500000000681,0.014892000000005737,-0.00416133333333255,0.021638000000001795
2022/07/14/04:38:51.092118,14680,1657741131,91771247,leptrino,0.6714333333333373,-0.14998333333333314,-0.5145500000000681,-0.029107999999994263,-0.00816133333333255,0.023638000000001796
2022/07/14/04:38:51.094083,14681,1657741131,93719121,leptrino,0.42143333333333727,1.6666666666864673e-05,-0.26455000000006806,-0.053107999999994264,-0.01016133333333255,0.025638000000001795
2022/07/14/04:38:51.094124,14682,1657741131,93751587,leptrino,0.47143333333333726,-0.09998333333333315,-0.4145500000000681,-0.061107999999994264,-0.01016133333333255,0.0316380000000018
