time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/07/14/04:48:19.015092,11518,1657741699,14772018,leptrino,1.1192999999999997,0.21161666666667786,-5.645599999999934,-0.11445466666667267,0.08125466666666921,0.02321933333333192
2022/07/14/04:48:19.015150,11519,1657741699,14810652,leptrino,1.2692999999999999,-0.03838333333332216,-5.795599999999934,-0.07845466666667267,0.08925466666666922,0.015219333333331917
2022/07/14/04:48:19.017183,11520,1657741699,16825363,leptrino,1.2192999999999998,-0.33838333333332216,-5.645599999999934,-0.03845466666667267,0.09525466666666921,0.017219333333331917
2022/07/14/04:48:19.017216,11522,1657741699,16865917,leptrino,1.6193,-0.6383833333333222,-5.795599999999934,0.029545333333327334,0.1092546666666692,0.0032193333333319176
2022/07/14/04:48:19.019123,11523,1657741699,18752293,leptrino,1.5693,-0.8383833333333222,-5.795599999999934,0.049545333333327335,0.1092546666666692,0.005219333333331917
2022/07/14/04:48:19.019174,11524,1657741699,18772271,leptrino,1.5693,-1.1383833333333222,-5.545599999999934,0.06154533333332734,0.11125466666666921,0.0032193333333319176
2022/07/14/04:48:19.021256,11525,1657741699,20890448,leptrino,1.6193,-1.0883833333333222,-5.695599999999934,0.07154533333332734,0.11725466666666921,0.0012193333333319174
2022/07/14/04:48:19.021311,11527,1657741699,20936596,leptrino,1.5192999999999999,-1.2383833333333223,-5.645599999999934,0.09754533333332734,0.11325466666666921,0.0032193333333319176
2022/07/14/04:48:19.023181,11528,1657741699,22815403,leptrino,1.5192999999999999,-1.2883833333333223,-5.645599999999934,0.09554533333332733,0.11525466666666921,0.0012193333333319174
2022/07/14/04:48:19.023222,11529,1657741699,22847639,leptrino,1.8193,-1.4883833333333223,-5.695599999999934,0.08554533333332734,0.11525466666666921,0.007219333333331917
2022/07/14/04:48:19.025166,11530,1657741699,24815061,leptrino,1.9692999999999998,-1.3383833333333222,-5.495599999999934,0.04554533333332734,0.1232546666666692,0.013219333333331917
2022/07/14/04:48:19.025207,11531,1657741699,24848063,leptrino,1.9192999999999998,-0.8383833333333222,-5.245599999999934,-0.004454666666672665,0.1252546666666692,0.02721933333333192
2022/07/14/04:48:19.027223,11532,1657741699,26901960,leptrino,2.3192999999999997,-0.6383833333333222,-4.545599999999934,-0.030454666666672667,0.11925466666666922,0.035219333333331916
2022/07/14/04:48:19.027251,11534,1657741699,26946481,leptrino,2.1193,0.011616666666677844,-3.745599999999934,-0.042454666666672664,0.11125466666666921,0.03121933333333192
2022/07/14/04:48:19.029090,11535,1657741699,28812916,leptrino,2.3693,-0.03838333333332216,-3.2955999999999337,-0.028454666666672665,0.11325466666666921,0.02721933333333192
2022/07/14/04:48:19.029129,11536,1657741699,28845966,leptrino,2.7193,-0.13838333333332217,-2.5455999999999337,-0.022454666666672667,0.11325466666666921,0.02321933333333192
2022/07/14/04:48:19.031287,11537,1657741699,30902924,leptrino,3.0693,-0.28838333333332217,-2.0455999999999337,-0.020454666666672665,0.12125466666666922,0.013219333333331917
2022/07/14/04:48:19.031342,11539,1657741699,30947014,leptrino,3.7193,0.061616666666677845,-0.8455999999999335,-0.028454666666672665,0.14525466666666922,0.011219333333331917
2022/07/14/04:48:19.033191,11540,1657741699,32812528,leptrino,3.8693,0.011616666666677844,-0.49559999999993354,-0.028454666666672665,0.1572546666666692,0.013219333333331917
2022/07/14/04:48:19.033239,11541,1657741699,32845467,leptrino,4.2693,0.36161666666667786,-0.5455999999999336,-0.05645466666667267,0.1592546666666692,0.015219333333331917
2022/07/14/04:48:19.035192,11542,1657741699,34816077,leptrino,4.3193,0.2616166666666779,-0.3455999999999335,-0.07245466666667266,0.14325466666666922,0.017219333333331917
2022/07/14/04:48:19.035231,11543,1657741699,34847630,leptrino,4.2193,0.36161666666667786,0.8044000000000665,-0.08445466666667267,0.1252546666666692,0.025219333333331918
2022/07/14/04:48:19.037256,11544,1657741699,36904696,leptrino,4.1193,0.41161666666667784,1.5044000000000666,-0.09645466666667267,0.10125466666666921,0.04121933333333192
2022/07/14/04:48:19.037284,11546,1657741699,36948454,leptrino,3.9193,0.9116166666666778,2.6544000000000665,-0.12045466666667266,0.05125466666666921,0.06921933333333193
2022/07/14/04:48:19.039201,11547,1657741699,38813265,leptrino,3.5193,1.2116166666666779,3.054400000000067,-0.08645466666667266,0.02325466666666921,0.05921933333333192
2022/07/14/04:48:19.039235,11548,1657741699,38845581,leptrino,3.1193,0.21161666666667786,3.7544000000000666,-0.028454666666672665,-0.004745333333330791,0.029219333333331918
2022/07/14/04:48:19.041368,11549,1657741699,40972062,leptrino,3.0193,-0.7883833333333222,5.054400000000067,-0.04045466666667267,-0.04274533333333079,0.009219333333331917
2022/07/14/04:48:19.041409,11551,1657741699,41023434,leptrino,2.3192999999999997,1.1616166666666778,4.954400000000067,-0.21045466666667267,-0.0947453333333308,0.02721933333333192
2022/07/14/04:48:19.043199,11552,1657741699,42818510,leptrino,1.7692999999999999,1.561616666666678,5.254400000000067,-0.21845466666667268,-0.1127453333333308,0.015219333333331917
2022/07/14/04:48:19.043239,11553,1657741699,42850663,leptrino,1.3193,0.9116166666666778,6.304400000000067,-0.15645466666667268,-0.1387453333333308,-0.006780666666668083
2022/07/14/04:48:19.045289,11554,1657741699,44839526,leptrino,0.8692999999999999,-0.5383833333333222,6.254400000000067,-0.11645466666667267,-0.1487453333333308,-0.026780666666668083
2022/07/14/04:48:19.045336,11555,1657741699,44883868,leptrino,0.8692999999999999,-0.7883833333333222,7.004400000000067,-0.09245466666667267,-0.1667453333333308,-0.006780666666668083
2022/07/14/04:48:19.047252,11556,1657741699,46889726,leptrino,0.4692999999999999,-0.8883833333333222,7.104400000000067,-0.09245466666667267,-0.1647453333333308,-0.012780666666668083
2022/07/14/04:48:19.047282,11558,1657741699,46934804,leptrino,0.1692999999999999,0.11161666666667786,6.104400000000067,-0.23045466666667266,-0.1247453333333308,0.005219333333331917
