time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/07/14/05:09:56.946438,16033,1657742996,946104281,leptrino,1.3902833333333393,1.2857000000000163,1.0184666666667,-0.06340733333333759,0.06021733333334441,0.04117200000000571
2022/07/14/05:09:56.946510,16034,1657742996,946157647,leptrino,1.3402833333333393,0.9857000000000163,0.8684666666666999,-0.03940733333333759,0.056217333333344416,0.04717200000000571
2022/07/14/05:09:56.948457,16035,1657742996,948160111,leptrino,1.2902833333333392,0.8357000000000163,1.3184666666667,-0.02540733333333759,0.04421733333334441,0.04717200000000571
2022/07/14/05:09:56.948491,16036,1657742996,948201898,leptrino,1.3402833333333393,0.7857000000000163,1.3684666666667,-0.02740733333333759,0.04221733333334442,0.05117200000000571
2022/07/14/05:09:56.950618,16037,1657742996,950251545,leptrino,1.0402833333333392,0.7857000000000163,1.4184666666667,-0.03140733333333759,0.038217333333344414,0.04517200000000571
2022/07/14/05:09:56.950672,16039,1657742996,950301140,leptrino,0.8902833333333393,0.3857000000000163,1.7684666666667,-0.01340733333333759,0.030217333333344414,0.02717200000000571
2022/07/14/05:09:56.952509,16040,1657742996,952141743,leptrino,0.7902833333333393,-0.014299999999983727,1.7684666666667,0.00859266666666241,0.028217333333344415,0.02317200000000571
2022/07/14/05:09:56.952540,16041,1657742996,952177480,leptrino,0.6402833333333393,-0.2642999999999837,1.7184666666667,0.03659266666666241,0.028217333333344415,0.01517200000000571
2022/07/14/05:09:56.954798,16042,1657742996,954331000,leptrino,0.7902833333333393,-0.6642999999999838,1.7184666666667,0.06859266666666242,0.028217333333344415,0.00517200000000571
2022/07/14/05:09:56.954854,16044,1657742996,954383371,leptrino,0.7402833333333394,-0.7642999999999838,2.0184666666667,0.12259266666666241,0.016217333333344415,-0.00482799999999429
2022/07/14/05:09:56.956484,16045,1657742996,956141881,leptrino,0.7902833333333393,-0.7642999999999838,2.0184666666667,0.13459266666666242,0.018217333333344413,-0.00682799999999429
2022/07/14/05:09:56.956526,16046,1657742996,956175955,leptrino,0.9902833333333393,-0.7642999999999838,1.8684666666667,0.1485926666666624,0.022217333333344413,-0.01082799999999429
2022/07/14/05:09:56.958453,16047,1657742996,958140627,leptrino,0.8902833333333393,-0.8142999999999838,1.8684666666667,0.17059266666666242,0.026217333333344413,-0.01482799999999429
2022/07/14/05:09:56.958479,16048,1657742996,958174538,leptrino,0.9402833333333392,-0.9642999999999837,1.9684666666667,0.19659266666666242,0.030217333333344414,-0.02282799999999429
2022/07/14/05:09:56.960576,16049,1657742996,960230920,leptrino,0.9902833333333393,-1.414299999999984,1.6684666666667,0.22859266666666242,0.032217333333344415,-0.03282799999999429
