time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/07/14/05:12:52.301313,6380,1657743172,300976542,leptrino,0.19690000000001184,0.12428333333333832,-2.227433333333255,-0.047740666666671074,0.004592666666668265,0.021788666666670453
2022/07/14/05:12:52.301371,6381,1657743172,301014377,leptrino,0.44690000000001184,0.22428333333333833,-2.377433333333255,-0.06974066666667107,0.022592666666668267,0.01578866666667045
2022/07/14/05:12:52.303499,6382,1657743172,303089734,leptrino,0.44690000000001184,-0.07571666666666169,-2.427433333333255,-0.06774066666667107,0.03259266666666827,0.007788666666670451
2022/07/14/05:12:52.303554,6384,1657743172,303134234,leptrino,0.09690000000001185,-0.1757166666666617,-2.727433333333255,-0.009740666666671075,0.022592666666668267,-0.02021133333332955
2022/07/14/05:12:52.305394,6385,1657743172,305049487,leptrino,0.14690000000001185,-0.5757166666666617,-2.427433333333255,0.05825933333332892,0.018592666666668266,-0.03421133333332955
2022/07/14/05:12:52.305444,6386,1657743172,305081621,leptrino,0.34690000000001187,-0.6757166666666617,-2.327433333333255,0.10625933333332893,0.028592666666668265,-0.04221133333332955
2022/07/14/05:12:52.307503,6387,1657743172,307108556,leptrino,0.34690000000001187,-0.6757166666666617,-2.727433333333255,0.11825933333332893,0.04059266666666827,-0.032211333333329546
2022/07/14/05:12:52.307553,6389,1657743172,307154377,leptrino,0.44690000000001184,0.2742833333333383,-2.327433333333255,0.03425933333332892,0.03459266666666826,-0.01421133333332955
2022/07/14/05:12:52.309537,6390,1657743172,309040602,leptrino,0.5469000000000118,0.37428333333333835,-2.027433333333255,-0.003740666666671075,0.026592666666668267,-0.00821133333332955
2022/07/14/05:12:52.309587,6391,1657743172,309073087,leptrino,0.6469000000000119,0.5242833333333383,-2.377433333333255,-0.021740666666671075,0.026592666666668267,-0.0022113333333295486
2022/07/14/05:12:52.311360,6392,1657743172,311018158,leptrino,0.6469000000000119,0.2742833333333383,-2.527433333333255,-0.03574066666667108,0.030592666666668267,0.007788666666670451
2022/07/14/05:12:52.311400,6393,1657743172,311056509,leptrino,0.6469000000000119,0.22428333333333833,-1.927433333333255,-0.041740666666671075,0.03459266666666826,0.021788666666670453
2022/07/14/05:12:52.313448,6394,1657743172,313091192,leptrino,0.4969000000000119,-0.12571666666666168,-2.027433333333255,-0.041740666666671075,0.036592666666668265,0.03378866666667045
2022/07/14/05:12:52.313479,6396,1657743172,313137115,leptrino,0.6469000000000119,-0.8757166666666617,-2.327433333333255,0.00025933333332892516,0.04859266666666827,0.01978866666667045
2022/07/14/05:12:52.315394,6397,1657743172,315039333,leptrino,0.8969000000000119,-1.2757166666666617,-2.777433333333255,0.030259333333328926,0.058592666666668264,0.017788666666670453
2022/07/14/05:12:52.315436,6398,1657743172,315071779,leptrino,1.096900000000012,-1.5257166666666617,-2.627433333333255,0.05625933333332893,0.06459266666666827,0.005788666666670451
2022/07/14/05:12:52.317617,6399,1657743172,317104263,leptrino,1.396900000000012,-1.7757166666666617,-2.377433333333255,0.08025933333332892,0.06459266666666827,-0.00821133333332955
2022/07/14/05:12:52.317655,6401,1657743172,317149148,leptrino,1.646900000000012,-1.8757166666666618,-2.777433333333255,0.12825933333332892,0.07459266666666826,-0.030211333333329548
2022/07/14/05:12:52.319448,6402,1657743172,319030977,leptrino,1.9469000000000118,-1.8257166666666618,-2.8274333333332553,0.13025933333332892,0.07659266666666827,-0.03421133333332955
2022/07/14/05:12:52.319483,6403,1657743172,319063450,leptrino,1.9469000000000118,-1.4757166666666617,-2.927433333333255,0.11225933333332892,0.07659266666666827,-0.032211333333329546
2022/07/14/05:12:52.321418,6404,1657743172,321018297,leptrino,2.146900000000012,-0.9757166666666617,-2.677433333333255,0.08425933333332893,0.07859266666666827,-0.02021133333332955
2022/07/14/05:12:52.321471,6405,1657743172,321050926,leptrino,2.296900000000012,-0.6257166666666617,-2.727433333333255,0.052259333333328925,0.08459266666666827,-0.022211333333329548
2022/07/14/05:12:52.323456,6406,1657743172,323080649,leptrino,2.0969000000000118,-0.5757166666666617,-3.227433333333255,0.024259333333328924,0.09859266666666827,-0.02821133333332955
2022/07/14/05:12:52.323490,6408,1657743172,323124316,leptrino,2.396900000000012,-0.4757166666666617,-3.527433333333255,-0.003740666666671075,0.11459266666666827,-0.026211333333329548
2022/07/14/05:12:52.325410,6409,1657743172,325037316,leptrino,2.246900000000012,-0.3257166666666617,-3.977433333333255,-0.033740666666671075,0.12259266666666827,-0.018211333333329548
2022/07/14/05:12:52.325446,6410,1657743172,325070723,leptrino,2.246900000000012,-0.1757166666666617,-4.177433333333255,-0.06974066666667107,0.12459266666666827,-0.004211333333329549
2022/07/14/05:12:52.327497,6411,1657743172,327087683,leptrino,2.146900000000012,0.02428333333333832,-4.477433333333255,-0.09574066666667108,0.12859266666666827,0.01578866666667045
2022/07/14/05:12:52.327537,6413,1657743172,327131057,leptrino,1.7469000000000119,0.47428333333333833,-4.5274333333332555,-0.12774066666667108,0.10859266666666827,0.045788666666670454
2022/07/14/05:12:52.329333,6414,1657743172,328968133,leptrino,1.646900000000012,0.7242833333333384,-4.227433333333255,-0.12974066666667108,0.10059266666666827,0.05978866666667045
2022/07/14/05:12:52.329370,6415,1657743172,328992692,leptrino,1.546900000000012,0.9742833333333384,-4.177433333333255,-0.13174066666667109,0.09459266666666827,0.06778866666667045
2022/07/14/05:12:52.331383,6416,1657743172,331034536,leptrino,1.646900000000012,1.0242833333333383,-4.227433333333255,-0.12174066666667108,0.09059266666666826,0.08178866666667045
2022/07/14/05:12:52.331423,6417,1657743172,331066121,leptrino,1.546900000000012,1.1742833333333385,-3.777433333333255,-0.09174066666667108,0.07859266666666827,0.08578866666667045
2022/07/14/05:12:52.333465,6418,1657743172,333089095,leptrino,1.296900000000012,0.7742833333333383,-3.627433333333255,-0.041740666666671075,0.06859266666666827,0.08578866666667045
2022/07/14/05:12:52.333495,6420,1657743172,333133419,leptrino,1.1469000000000118,0.2742833333333383,-2.877433333333255,0.024259333333328924,0.052592666666668265,0.06978866666667045
2022/07/14/05:12:52.335401,6421,1657743172,335028662,leptrino,1.1469000000000118,0.12428333333333832,-2.777433333333255,0.020259333333328924,0.050592666666668264,0.06978866666667045
2022/07/14/05:12:52.335444,6422,1657743172,335060837,leptrino,1.2469000000000119,0.5742833333333384,-2.477433333333255,0.00025933333332892516,0.04859266666666827,0.06578866666667045
2022/07/14/05:12:52.337523,6423,1657743172,337141718,leptrino,1.4469000000000118,0.7242833333333384,-2.227433333333255,-0.017740666666671075,0.052592666666668265,0.06978866666667045
2022/07/14/05:12:52.337561,6425,1657743172,337190393,leptrino,1.646900000000012,0.47428333333333833,-1.6274333333332551,0.0022593333333289253,0.04859266666666827,0.053788666666670454
2022/07/14/05:12:52.339419,6426,1657743172,339024409,leptrino,1.796900000000012,0.12428333333333832,-1.077433333333255,0.026259333333328926,0.050592666666668264,0.039788666666670455
2022/07/14/05:12:52.339459,6427,1657743172,339057516,leptrino,2.0969000000000118,-0.27571666666666167,-1.077433333333255,0.05425933333332893,0.050592666666668264,0.02778866666667045
2022/07/14/05:12:52.341404,6428,1657743172,341020392,leptrino,2.146900000000012,-0.4757166666666617,-1.077433333333255,0.06425933333332892,0.04659266666666827,0.02778866666667045
2022/07/14/05:12:52.341440,6429,1657743172,341052903,leptrino,2.196900000000012,-0.4757166666666617,-0.727433333333255,0.060259333333328925,0.030592666666668267,0.037788666666670453
2022/07/14/05:12:52.343491,6430,1657743172,343084847,leptrino,2.296900000000012,-0.4257166666666617,-0.627433333333255,0.05625933333332893,0.022592666666668267,0.039788666666670455
2022/07/14/05:12:52.343528,6432,1657743172,343128278,leptrino,2.296900000000012,-0.3757166666666617,-0.37743333333325496,0.03225933333332893,0.006592666666668265,0.04178866666667045
2022/07/14/05:12:52.345363,6433,1657743172,344978061,leptrino,2.246900000000012,0.02428333333333832,-0.12743333333325496,0.026259333333328926,-0.001407333333331735,0.045788666666670454
2022/07/14/05:12:52.345401,6434,1657743172,345012650,leptrino,2.146900000000012,0.07428333333333832,0.02256666666674505,0.024259333333328924,-0.015407333333331736,0.04978866666667045
2022/07/14/05:12:52.347483,6435,1657743172,347109194,leptrino,2.0969000000000118,-0.025716666666661683,0.27256666666674506,0.016259333333328924,-0.023407333333331736,0.04178866666667045
2022/07/14/05:12:52.347518,6437,1657743172,347153911,leptrino,1.846900000000012,0.37428333333333835,0.3725666666667451,-0.025740666666671075,-0.03140733333333173,0.031788666666670455
2022/07/14/05:12:52.349405,6438,1657743172,349039825,leptrino,1.4969000000000119,0.37428333333333835,0.572566666666745,-0.03774066666667108,-0.03940733333333173,0.025788666666670453
2022/07/14/05:12:52.349443,6439,1657743172,349072177,leptrino,1.296900000000012,0.2742833333333383,0.6725666666667451,-0.041740666666671075,-0.049407333333331735,0.017788666666670453
2022/07/14/05:12:52.351379,6440,1657743172,351039134,leptrino,0.8969000000000119,0.17428333333333834,0.5225666666667451,-0.05374066666667108,-0.05140733333333174,0.017788666666670453
2022/07/14/05:12:52.351415,6441,1657743172,351070912,leptrino,0.6469000000000119,0.07428333333333832,0.5225666666667451,-0.06374066666667108,-0.04540733333333174,0.011788666666670451
2022/07/14/05:12:52.353492,6442,1657743172,353083978,leptrino,0.39690000000001185,0.22428333333333833,0.5225666666667451,-0.08174066666667108,-0.05140733333333174,0.009788666666670451
2022/07/14/05:12:52.353528,6444,1657743172,353129166,leptrino,-0.30309999999998816,0.32428333333333836,0.12256666666674505,-0.11774066666667107,-0.05140733333333174,0.017788666666670453
